id,time_started,time_completed,role,text_role_other,years_experience,domain_web,domain_mobile,domain_embedded,domain_enterprise,domain_ai,domain_games,domain_other,text_domain_other,domain_additional,bva_familiarity,text_explanation_contain,email_1_clarity,email_1_correctness,email_1_completeness,email_1_usefulness,email_2_clarity,email_2_correctness,email_2_completeness,email_2_usefulness,email_3_clarity,email_3_correctness,email_3_completeness,email_3_usefulness,email_4_clarity,email_4_correctness,email_4_completeness,email_4_usefulness,email_5_clarity,email_5_correctness,email_5_completeness,email_5_usefulness,text_email_clarity,text_email_correctness,text_email_completeness,text_email_usefulness,bytecnt_1_clarity,bytecnt_1_correctness,bytecnt_1_completeness,bytecnt_1_usefulness,bytecnt_2_clarity,bytecnt_2_correctness,bytecnt_2_completeness,bytecnt_2_usefulness,bytecnt_3_clarity,bytecnt_3_correctness,bytecnt_3_completeness,bytecnt_3_usefulness,bytecnt_4_clarity,bytecnt_4_correctness,bytecnt_4_completeness,bytecnt_4_usefulness,bytecnt_5_clarity,bytecnt_5_correctness,bytecnt_5_completeness,bytecnt_5_usefulness,text_bytecnt_clarity,text_bytecnt_correctness,text_bytecnt_completeness,text_bytecnt_usefulness,date_1_clarity,date_1_correctness,date_1_completeness,date_1_usefulness,date_2_clarity,date_2_correctness,date_2_completeness,date_2_usefulness,date_3_clarity,date_3_correctness,date_3_completeness,date_3_usefulness,date_4_clarity,date_4_correctness,date_4_completeness,date_4_usefulness,date_5_clarity,date_5_correctness,date_5_completeness,date_5_usefulness,text_date_clarity,text_date_correctness,text_date_completeness,text_date_usefulness,bmi_1_clarity,bmi_1_correctness,bmi_1_completeness,bmi_1_usefulness,bmi_2_clarity,bmi_2_correctness,bmi_2_completeness,bmi_2_usefulness,bmi_3_clarity,bmi_3_correctness,bmi_3_completeness,bmi_3_usefulness,bmi_4_clarity,bmi_4_correctness,bmi_4_completeness,bmi_4_usefulness,bmi_5_clarity,bmi_5_correctness,bmi_5_completeness,bmi_5_usefulness,text_bmi_clarity,text_bmi_correctness,text_bmi_completeness,text_bmi_usefulness,use,text_use_reason,text_one_change,contact,text_feedback,completed
411564645,2025-05-13 14:50:51.000,2025-05-13 16:23:08.960,Researcher / Academic,,10,,1.0,,,1.0,,,,,Quite familiar,"A boundary indicates a point at which software behaviour changes noticeably in response to small changes in input values. Boundary value analysis focuses on testing these edge cases to identify potential faults. A corresponding explanation should be complete and clear/understandable, i.e., by reporting the two input values and clearly describing their difference, as well as the difference of system behaviour.",4.0,5.0,5.0,5.0,4.0,1.0,2.0,3.0,4.0,4.0,2.0,3.0,4.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,The given explanations are clear but would be easier to grasp if my comments on completeness were addressed (see below),"Simply adding factually accurate explanations. As an example in Q2.1 ""Adding a plus and tag after the local part (user+tag)"" is not correct, as the tag is within the local part.","A complete explanation should clearly explain important aspects, e.g., that in Q2.2 it is referring to RFC-5322, what is the local part, what is punycode.",A visible difference in behaviour: In Q2.1 and Q2.2 I cannot see the difference between two valid classes if the explanation does not show me how they are managed differently by the software. ,3.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,1.0,4.0,4.0,4.0,5.0,2.0,4.0,1.0,4.0,"In Q3.1 explain what it means to have a ""visible"" count.","All the explanations seem correct, given my assumptions.","In Q3.2, explain what is the threshold, while in Q3.5 explain both errors in the output.",Q3.3 is not useful since it does not describe a boundary: both outputs belong to the same behavioural class,1.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,In Q4.1 and Q4.2 explain what is a zero padded year,"The explanation should match the boundary pair. In 4.2, the explanation mentions "" with day and month at 10"" but in one of the elements of the pair month is 9.","In Q4.3, completely describe the boundary and not just one of the values (1). Q4.4 is complete since it reports both boundary values and clarifies the expected formatting.","In Q4.1, i do not see any different output class in the pair. The explanation mentions that there is a change in ""the output's year field from 3 to 4 digits"" but I always see 4 digits.",5.0,5.0,3.0,5.0,2.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,3.0,1.0,"In Q5.2, the sentence ""showing the threshold is weight equals 1 kg."" must be improved since 1kg is not always a threshold between classes.",Q5.5 provides a wrong depiction of the causal relationship between input and output,In Q5.1 it would be useful to report or provide a link to the standard formula.,"Q5.5 should better characterize the identified boundary, since it corresponds to a behaviour that is more general, that does not depend on the height value",1.0,"Automated test generators that provide explanations help identifying root causes of behaviours (e.g., bugs)",Adding links to external resources in order to balance between completeness and conciseness,2.0,,1
411582381,2025-05-13 16:26:57.000,2025-05-13 16:37:58.067,Researcher / Academic,,10,1.0,1.0,,,1.0,1.0,,,,Expert,the behavioural boundaries,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,"""local part length"" is not clear what it means",use only factual information,,examples on how to fix the issue,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,provide additional factual information,,,4.0,2.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,can't really judge some,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,1.0,more context helps understandability and debugging,provide a concise example of fix,1.0,good luck with the work!,1
411584700,2025-05-13 16:41:44.660,,Researcher / Academic,,4,,,,,1.0,,,,,Somewhat familiar,A boundary behavior explanation presented to a tester should clearly describe how the system is expected to behave at is input boundaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
411640358,2025-05-14 08:11:45.693,,Researcher / Academic,,3,1.0,,,,,,,,,Not at all familiar,Each critical boundaries (output get change) of the sut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
411643713,2025-05-14 08:31:57.197,,Researcher / Academic,,3,,,,,1.0,,,,,Quite familiar,expected behavior for non boundary cases,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,,I cannot assess correctness without knowing the norms.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
411767526,2025-05-14 21:22:37.480,,QA / Test Engineer,,8,,,,,1.0,,,,,Somewhat familiar,"The threshold boundaries where changes in system behavior are expected should be clearly defined, along with the system’s expected response at those points.
For example, in an AI context where model robustness against outliers is critical, the system should maintain stable sensitivity as long as the proportion of outliers remains within an acceptable threshold — no more than 10%. Beyond this threshold, a degradation in model performance may occur, and appropriate system handling or alerts should be expected.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
411941831,2025-05-16 08:33:50.893,,Software architect,Software architect,18,1.0,,1.0,,1.0,,,,,Somewhat familiar,"The introductory example in this survey illustrates boundary value analysis well. Many practitioners—including software testers—tend to think of “edge” values only as the absolute limits of an input range, but this example makes it clear that boundary values can occur in other places as well.",5.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,All examples are clear except the one on internationalization. Testers unfamiliar with the related RFC may find it surprising and could miss it. Including this atypical case in the preamble would help prepare testers.,I have no issues with correctness,"Completeness is a recurring challenge—after five examples, it still feels like other cases could exist. As a tester, I’d wonder how to generalize my test cases to cover those possibilities.",I have no issues with correctness,2.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,"The introduction did not mention anything about errors so that came as a surprise. If I don't dig deep, I don't get the bounds error format BoundsError(""kMGTPE"", N) - what does N mean here?",The lack of clarity makes it difficult to judge correctness,I repeat my observation from the previous example - I'm not sure if showing a handful of gotcha cases creates an impression of completeness,The lack of clarity makes it difficult to judge usefulness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
411953265,2025-05-16 09:43:05.000,2025-05-16 10:54:22.310,QA / Test Engineer,,6,,,,1.0,1.0,,,,,Somewhat familiar,The boundary behavior explanation should indicate the output expected from the unit under test at the boundary value(s) of the input parameter(s). ,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,The explanations are clear.,"The explanations seem correct (TIL about spaces, internationalization, and punycode encoding in email addresses)","The explanations are mostly complete, but it may be useful to mention the impact of the position of dots and spaces in the local part of the email address on its validity.",The explanations are useful.,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,"Mostly clear explanations, the explanation for BC3 took some re-reads to understand -- the input type is listed as ""height cm, weight kg.""
BC4 and BC5 raise the same error type but their explanations are worded differently. BC5 does not mention the boundary value (999999999999998341339). ",The explanations seem correct.,"The explanations are mostly complete.  The explanation for BC5 could have indicated the boundary value, as could the specification of the error that is raised in BC4 and BC5 (what does the number in BoundsError signify?).","The explanations are useful, ",2.0,3.0,3.0,1.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"The explanation for Date1 mentions the change in the year from 3 to 4 digits, but the year has 4 digits in both cases (0199 and 0200).
The explanation for Date2 mentions the month (10) but the month is irrelevant for this boundary value condition (the relevant condition is the change in the year from -1 to 0).","For Date1, the boundary being explained is unclear to me. There is no change in the number of digits, as indicated in the explanation.","Mostly complete, except Date1 and Date2, but the formatting of the explanation across the examples is inconsistent (e.g., ranges are sometimes indicated as (x:y) and sometimes in words such as between x and y).
For Date2, the explanation is a bit ""too complete"" - mentioning the month parameter that does not impact the output.","All useful explanations, except for the case of Date1 that I don't understand. :)",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,The explanations seem clear,The explanations seem correct.,The explanations seem complete.,The explanations are useful.,1.0,They might be more consistent with the code.,The indication of boundary values and maybe more consistent format across the explanations,2.0,:),1
411956736,2025-05-16 10:02:08.393,,AI Lead,AI Lead,21,1.0,,,,1.0,,,,SWE turned Data Scientist/MLE. Working with AI for QA and applying QA to AI,Somewhat familiar,"Clear indication of where the boundary is, and what happens on either side of the boundary. ",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,5.0,5.0,2.0,5.0,"2.3 It is not clear from the explanation what marks that the second email address is punycoded. This can be inferred from the leading xn-- parts, but this should be stated in the explanation. ","2.4 the explanation seems incorrect by omission, in that the boundary is a local part  containing a space surrounded or not surrounded by quotation marks",2.5 is the boundary the length in characters (including Unicode) or bytes / ASCII characters?,Improving correctness and completeness as detailed above,2.0,1.0,5.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,"3.1 The explanation is trivial but fails to explain what ""visible"" means. Also, is this really a boundary? There is no difference in output format between a byte count of 0 and 1. ","3.1 This does not seem to be a correct boundary test. If the outputs would have been """" and ""1B"" it would have been more correct. ",3.4 An explanation of the bounds error would have been helpful. ,"3.3 The explanation does not explain why this is being tested, since it doesn't test a boundary ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
411968037,2025-05-16 11:06:43.827,,Researcher / Academic,,10,1.0,1.0,1.0,1.0,1.0,,,,,Not at all familiar,"A boundary behavior explanation presented to a tester should clearly describe how a system or feature is expected to behave at, just below, and just above the input limits or thresholds",5.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,1.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,Different examples, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
